"","X.1","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"27",27,"Caloplaca flavovirescens",NA,"","","","",710560,"","","","","","Brako, L.","1593","",1979,NA,NA,NA,"","on rock","","","","",NA,NA,NA,"","",NA,"","","710560.1979","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"28",28,"Caloplaca flavovirescens",NA,"","","","",721660,"","","","","","Wetmore, C.","41945","",1980,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","721660.1980","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"29",29,"Caloplaca flavovirescens",NA,"","","","",23898,"","","","","","Fink, B.","1843","",1901,NA,NA,NA,"","on rocks","","","","",NA,NA,NA,"","",NA,"","","23898.1901","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"30",30,"Caloplaca flavovirescens",NA,"","","","",710491,"","","","","","Brako, L.","1683","",1979,NA,NA,NA,"","on rock of west facing slope","","","","",NA,NA,NA,"","",NA,"","","710491.1979","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"31",31,"Caloplaca flavovirescens",NA,"","","","",858414,"","","","","","Wheeler, G.","17560","",1997,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","858414.1997","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"32",32,"Caloplaca flavovirescens",NA,"","","","",786476,"","","","","","Trana, T.","14100","",1986,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","786476.1986","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"33",33,"Caloplaca flavovirescens",NA,"","","","",907411,"","","","","","Wetmore, C.","96982","",2008,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","907411.2008","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"34",34,"Caloplaca flavovirescens",NA,"","","","",901847,"","","","","","Wetmore, C.","77238","",1997,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","901847.1997","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"35",35,"Caloplaca flavovirescens",NA,"","","","",23889,"","","","","","Fink, B.","298","",1897,NA,NA,NA,"","on rocks","","","","",NA,NA,NA,"","",NA,"","","23889.1897","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"36",36,"Caloplaca flavovirescens",NA,"","","","",23897,"","","","","","Fink, B.","1232","",1901,NA,NA,NA,"","on rocks","","","","",NA,NA,NA,"","",NA,"","","23897.1901","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"37",37,"Caloplaca flavovirescens",NA,"","","","",907402,"","","","","","Wetmore, C.","96991","",2008,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","907402.2008","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"38",38,"Caloplaca flavovirescens",NA,"","","","",634027,"","","","","","Wetmore, C.","18592","",1969,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","634027.1969","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"39",39,"Caloplaca flavovirescens",NA,"","","","",813488,"","","","","","Wetmore, C.","67902","",1991,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","813488.1991","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"40",40,"Caloplaca flavovirescens",NA,"","","","",23895,"","","","","","Fink, B.","643","",1900,NA,NA,NA,"","on granitics","","","","",NA,NA,NA,"","",NA,"","","23895.1900","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
